{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(316.6396236015328), 'rmse': np.float64(17.79437055929579), 'r2': 0.921770427894362}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(534.4475728061352), 'rmse': np.float64(23.11812217300824), 'r2': 0.8679583923895293}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(390.2430563152087), 'rmse': np.float64(19.754570517103346), 'r2': 0.9039823583310146}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(467.3250543352718), 'rmse': np.float64(21.617702337095675), 'r2': 0.8864814569520664}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(356.7622396426118), 'rmse': np.float64(18.88815077350379), 'r2': 0.9122201706534401}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(449.06321545627213), 'rmse': np.float64(21.19111170883378), 'r2': 0.8909174642315582}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(458.3412635096378), 'rmse': np.float64(21.408906172657158), 'r2': 0.8867613581810017}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(355.6076449944128), 'rmse': np.float64(18.857562010886053), 'r2': 0.9121429163255491}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(487.6029548730858), 'rmse': np.float64(22.081733511504158), 'r2': 0.8800273700195551}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(333.37595037938894), 'rmse': np.float64(18.258585662076595), 'r2': 0.9190192098129242}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(345.46616029646844), 'rmse': np.float64(18.586719998333983), 'r2': 0.9146484903260869}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(352.44439557495247), 'rmse': np.float64(18.77350248555001), 'r2': 0.9132825577933568}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(360.9707824645086), 'rmse': np.float64(18.999231101929063), 'r2': 0.9108178896448792}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(396.24955117680076), 'rmse': np.float64(19.906017963842007), 'r2': 0.9021018516791145}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(366.8564933034692), 'rmse': np.float64(19.153498200158353), 'r2': 0.9097365225391705}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(358.3522909263858), 'rmse': np.float64(18.93019521627777), 'r2': 0.9129521741099121}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(396.07420152375863), 'rmse': np.float64(19.901613038237848), 'r2': 0.9037890952373507}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 16, 'mse': np.float64(438.6523778807473), 'rmse': np.float64(20.944029647628636), 'r2': 0.893446374467632}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 16, 'mse': np.float64(429.59178833207073), 'rmse': np.float64(20.726596158850366), 'r2': 0.8956472941811794}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(420.72129542385255), 'rmse': np.float64(20.51149178933245), 'r2': 0.8960558172019684}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(354.69893843969624), 'rmse': np.float64(18.833452642563877), 'r2': 0.9127278371252727}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(365.1565133259666), 'rmse': np.float64(19.109068876477647), 'r2': 0.9101547953711474}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(425.6962907072924), 'rmse': np.float64(20.632408747097184), 'r2': 0.8948266856491187}
