{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(378.9108800953669), 'rmse': np.float64(19.465633308355702), 'r2': 0.9067705920176832}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(383.06713949289446), 'rmse': np.float64(19.572101049526964), 'r2': 0.9053587227353097}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(367.8146436866836), 'rmse': np.float64(19.1784943018654), 'r2': 0.9091270326104012}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(381.65883720214714), 'rmse': np.float64(19.536090632522853), 'r2': 0.9057066605086921}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(411.857287425658), 'rmse': np.float64(20.29426735375431), 'r2': 0.8986642688374825}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(430.3442505981233), 'rmse': np.float64(20.744740311657875), 'r2': 0.895464512583342}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 16, 'mse': np.float64(436.82350901039433), 'rmse': np.float64(20.900323179568165), 'r2': 0.8938906274081971}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 16, 'mse': np.float64(345.88337507468844), 'rmse': np.float64(18.59794007611296), 'r2': 0.9159810148445168}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(347.08838580636296), 'rmse': np.float64(18.63030825849006), 'r2': 0.9146003811816623}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(327.64513935757026), 'rmse': np.float64(18.100970674457496), 'r2': 0.9193843091470429}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(325.5459230376859), 'rmse': np.float64(18.04289120506151), 'r2': 0.9195700210532659}
