{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(371.8215646508114), 'rmse': np.float64(19.2826752462103), 'r2': 0.9096803351298997}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(460.7028804973715), 'rmse': np.float64(21.463990320939196), 'r2': 0.8880900579010522}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(391.3783770390255), 'rmse': np.float64(19.783285294384893), 'r2': 0.9037030175031004}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(310.2227698438907), 'rmse': np.float64(17.613141963996394), 'r2': 0.923671008950967}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(311.22088069235014), 'rmse': np.float64(17.64145347448305), 'r2': 0.9244009269039872}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(344.4428244242173), 'rmse': np.float64(18.559170898082094), 'r2': 0.9149013175828148}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(239.3441730443258), 'rmse': np.float64(15.470752180948597), 'r2': 0.9411103857684858}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(312.034861229876), 'rmse': np.float64(17.664508519341148), 'r2': 0.9229080890180253}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(347.1702240007891), 'rmse': np.float64(18.632504501563634), 'r2': 0.9142274811898534}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(333.40800189135047), 'rmse': np.float64(18.25946335168015), 'r2': 0.9176276012841059}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(397.42063028721316), 'rmse': np.float64(19.93541146520967), 'r2': 0.9022163468298646}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(446.62237949147084), 'rmse': np.float64(21.133442206405253), 'r2': 0.8901104660252468}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(452.983468803725), 'rmse': np.float64(21.283408298572034), 'r2': 0.8880850648684531}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(429.2855271757287), 'rmse': np.float64(20.719206721680457), 'r2': 0.895721688481116}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(303.53613842609343), 'rmse': np.float64(17.422288553060227), 'r2': 0.9253162261279462}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(483.71842372595114), 'rmse': np.float64(21.99359960820309), 'r2': 0.8804916299568528}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(376.17268480417493), 'rmse': np.float64(19.395171687927252), 'r2': 0.9086233988157555}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(452.70194326897155), 'rmse': np.float64(21.276793538241883), 'r2': 0.8886146152552069}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(313.07388461670496), 'rmse': np.float64(17.693893992468276), 'r2': 0.9229695043061487}
